,precinct,number,% of total,total_po
0,1,1,1.0,100.0
1,5,3,2.0,150.0
2,6,2,1.0,200.0
3,7,3,2.0,150.0
4,9,4,2.0,200.0
5,10,2,1.0,200.0
6,13,2,1.0,200.0
7,14,1,0.3,333.3333333333333
8,17,1,1.0,100.0
9,18,1,0.3,333.3333333333333
10,19,1,0.5,200.0
11,20,0,0.0,
12,23,2,1.0,200.0
13,24,0,0.0,
14,25,2,1.0,200.0
15,26,1,1.0,100.0
16,28,5,3.0,166.66666666666669
17,30,2,1.0,200.0
18,32,2,1.0,200.0
19,33,4,2.0,200.0
20,34,1,0.5,200.0
21,40,5,2.0,250.0
22,41,2,1.0,200.0
23,43,2,1.0,200.0
24,44,4,1.0,400.0
25,45,0,0.0,
26,46,1,0.3,333.3333333333333
27,47,2,1.0,200.0
28,48,1,0.0,inf
29,49,2,1.0,200.0
30,50,3,2.0,150.0
31,52,2,1.0,200.0
32,60,1,0.4,250.0
33,61,0,0.0,
34,62,0,0.0,
35,63,2,2.0,100.0
36,66,1,1.0,100.0
37,67,3,1.0,300.0
38,68,2,2.0,100.0
39,69,1,1.0,100.0
40,70,5,2.0,250.0
41,71,3,1.0,300.0
42,72,0,0.0,
43,76,0,0.0,
44,78,0,0.0,
45,73,1,0.3,333.3333333333333
46,75,8,2.0,400.0
47,77,1,0.4,250.0
48,79,6,2.0,300.0
49,81,4,2.0,200.0
50,83,3,2.0,150.0
51,84,3,1.0,300.0
52,88,2,1.0,200.0
53,90,0,0.0,
54,94,0,0.0,
55,100,2,1.0,200.0
56,101,1,0.5,200.0
57,102,1,1.0,100.0
58,103,2,1.0,200.0
59,105,2,0.4,500.0
60,106,0,0.0,
61,107,1,1.0,100.0
62,113,5,2.0,250.0
63,104,3,2.0,150.0
64,108,2,1.0,200.0
65,109,2,1.0,200.0
66,110,1,1.0,100.0
67,111,1,1.0,100.0
68,112,0,0.0,
69,114,4,2.0,200.0
70,115,1,0.5,200.0
71,120,2,1.0,200.0
72,121,6,3.0,200.0
73,122,2,1.0,200.0
74,123,1,1.0,100.0
