,ARREST_PRECINCT,felony_09,felony_14
0,1,728,691
1,5,1983,2075
2,6,1059,896
3,7,859,830
4,9,1214,932
5,10,971,666
6,13,976,1082
7,14,2054,2049
8,17,391,339
9,18,1139,1372
10,19,1001,768
11,20,645,402
12,22,63,42
13,23,1356,1079
14,24,797,596
15,25,1913,1881
16,26,649,574
17,28,1631,1149
18,30,1315,779
19,32,1644,1092
20,33,1548,975
21,34,1396,888
22,40,2665,2461
23,41,2132,2340
24,42,1885,1538
25,43,1946,1930
26,44,3290,2576
27,45,835,700
28,46,2602,2307
29,47,1798,1685
30,48,2450,1894
31,49,911,855
32,50,736,498
33,52,2650,2004
34,60,1245,1254
35,61,957,1036
36,62,867,854
37,63,625,758
38,66,561,564
39,67,1964,2096
40,68,511,625
41,69,733,953
42,70,1602,1301
43,71,1349,1343
44,72,1157,962
45,73,2312,2652
46,75,3588,3824
47,76,530,457
48,77,1944,1680
49,78,416,469
50,79,2069,1714
51,81,1515,1454
52,83,1918,1506
53,84,1407,1261
54,88,763,765
55,90,1162,988
56,94,541,457
57,100,514,630
58,101,794,1045
59,102,1669,1483
60,103,1892,2240
61,104,1139,1026
62,105,1350,1808
63,106,892,1194
64,107,680,770
65,108,602,633
66,109,1291,1418
67,110,1111,1047
68,111,467,385
69,112,722,549
70,113,1849,2501
71,114,1440,1566
72,115,1809,1608
73,120,2559,1568
74,122,998,691
75,123,368,446
