precinct,shape_area,shape_leng,major_leng,arterial_l,all_street,
1,47301761.24,80586.15462,5.927948565,4.94278,82.34928,
5,18088797.95,18676.12426,4.435802444,2.61979,42.95332,
6,22098189.8,26402.90067,3.289494444,0.71815,42.18906,
71,45331787.17,29978.09426,4.142783208,1.18826,65.4073,
72,104621257.7,87968.19452,6.086120006,10.02866,147.73114,
7,18364020.92,17301.30868,2.237833692,2.00711,38.89617,
9,21394233.74,19773.23341,4.183851127,0.44785,34.69592,
22,38301388.66,32701.34917,12.60607365,0,15.21842,
10,27214504.5,39279.11727,4.942269199,4.1817,51.60769,
13,29508893.74,27719.17167,5.354579913,1.29108,51.62412,
14,20510163.83,20974.70924,4.98472178,0.95347,32.44607,
17,22269687.05,26622.00281,5.564516204,2.95793,47.04121,
20,27671000.15,27040.99438,5.715833231,1.12625,43.26337,
18,32261097.6,41624.36298,5.793592238,0.67151,52.56699,
19,48744673.58,30152.65655,10.15038729,2.17724,89.56152,
23,21467755.11,19438.10952,4.514122763,0.81355,34.41608,
24,25479873.37,20706.91908,5.408939004,1.00594,42.79273,
25,44793124.96,52199.00738,4.492354301,3.18689,79.38446,
79,44975546.93,28256.60211,4.705913022,0,65.90868,
26,23836014.45,23938.49709,3.120524199,0.98103,34.50989,
28,15289544.6,17098.98709,4.116571937,0,25.41933,
30,18837442.23,21627.00087,3.114288751,0.92644,36.70515,
32,23009990.36,25291.41136,3.774809861,1.33719,39.114,
73,51771864.99,33034.66094,4.529494932,1.16388,84.20905,
33,25863124.5,21744.60225,4.188560173,2.6977,59.72994,
34,52113460.92,45567.0203,6.425029712,2.82596,69.53706,
75,183100917.8,114009.9889,14.03468573,3.34801,251.91271,
40,60402018.16,33430.91346,7.827846223,3.7047,101.01853,
41,62139100.54,47901.42261,6.561283035,1.55555,85.0226,
42,44818131.9,33516.16326,6.480677189,0.69218,62.84899,
43,113325976.7,62189.00523,8.1153325,5.63655,179.02075,
48,43057143.45,34316.34484,5.506830215,1.40662,76.60355,
44,55530554.21,31394.62482,6.270293092,3.99726,103.19259,
45,271300430.8,307973.1504,11.87084725,13.18905,324.45328,
46,38323373.38,29627.9861,6.162122372,2.88691,73.60905,
47,160530903.2,86531.091,14.77516721,5.28039,217.79661,
49,105809974.1,45768.17592,10.83251887,5.49345,149.13723,
50,136112621.5,52230.50519,10.38609729,6.4342,160.58258,
67,93744758.44,43288.94314,12.10612398,0,133.27486,
52,80116628.67,65671.23448,11.08449849,4.12817,105.44562,
60,88215710.85,66232.5717,7.92924465,2.62509,119.93423,
61,134635110.1,128324.2229,12.43747076,1.10929,207.78067,
62,103208535.3,51716.70103,12.13602405,1.58682,161.72526,
63,229414078.8,205089.3775,11.38857708,2.13749,201.73284,
66,99520789.11,52362.50078,7.778626552,1.78186,149.8787,
68,110943389.3,44532.41883,10.76473907,5.82258,191.50755,
69,107413015.4,121953.4538,5.305325276,1.25716,126.18346,
70,82181407.82,49075.67363,8.311685985,0.28832,114.162,
76,48238653.52,68146.38767,3.347609747,2.37016,81.98199,
77,42651832.13,34662.44129,4.065086088,0.94393,64.06905,
78,67677111.13,39797.36381,6.849074254,0.33973,87.84326,
81,34485430.76,28386.71899,4.850702139,0,53.93916,
83,56650181.43,36940.1948,5.599896799,0.10812,84.1905,
84,35462877.45,38087.65735,4.611097568,2.72738,79.50371,
88,42391905.89,53339.50486,7.320190332,1.0282,64.90751,
90,66154252.97,51583.31276,11.2609219,1.98909,114.63582,
94,65641861.32,44570.16984,4.707849797,1.46015,103.05956,
100,205185208.4,283995.9451,9.813747157,5.31802,232.66629,
101,84672696.72,78292.58242,3.155442068,3.36603,117.3897,
102,133314470.8,52865.28107,13.72269892,5.95985,212.29415,
103,100921595,48549.93798,10.53898217,0.10388,158.21083,
104,210504683.7,75785.94551,17.31371293,3.6464,284.6206,
105,347328139.6,133234.8819,23.8625631,9.32588,575.99446,
106,172508228.2,106986.7069,7.631879167,10.7272,272.43113,
107,207501246.6,69289.88377,11.36179294,9.06724,324.49091,
108,139592390,73058.71866,10.62479893,10.01859,226.52571,
109,322684228.2,132344.5985,19.55365344,7.96749,476.97827,
110,112103693.3,72813.14037,7.792310841,6.50893,238.02353,
111,260157263.1,97448.26033,15.35819687,8.63052,409.09375,
112,88945075.95,41644.03616,3.716149117,5.80403,158.74401,
113,389637204.2,214242.9976,10.48249242,4.46101,371.48071,
114,180006158,113659.9757,13.96473765,3.03478,223.81105,
115,113293878.5,58272.20435,9.447399348,3.01941,181.19163,
120,232535326.8,96171.72398,20.95375674,2.20215,331.78742,
121,475716087.7,138115.7212,36.47851896,12.25148,523.42323,
122,454799251.5,154881.0063,28.97549921,12.63149,589.00808,
123,460870016.2,120830.1811,38.72294234,9.1266,541.97217,
