,index,Officers
0,1,112.82677630739302
1,10,64.90774892967386
2,100,489.15132826656975
3,101,201.8746725045866
4,102,317.85023624112057
5,103,240.6390996604832
6,104,501.86072191547214
7,105,828.0520016283758
8,106,411.2786675150983
9,107,494.6997466773784
10,108,332.81246299091805
11,109,769.3049510029842
12,110,267.29304129507943
13,111,620.2083831923964
14,112,212.0627500080513
15,113,928.8994084664096
16,114,429.17748571647934
17,115,270.12799750429105
18,120,554.3799011722083
19,121,1134.0864496434958
20,122,1084.2188217326911
21,123,1098.6769585183379
22,13,70.39833864013575
23,14,48.968904781083594
24,17,53.12291431947957
25,18,76.97948909723763
26,19,116.26301616299801
27,20,65.9899406821492
28,23,51.217265551350835
29,24,60.772791894951496
30,25,106.81925878301683
31,26,56.84421422761642
32,28,36.477417684064484
33,30,44.92985404600323
34,32,54.891750904918155
35,33,61.688097960029516
36,34,124.2758694793215
37,40,144.06623219327508
38,41,148.17299504727768
39,42,106.895690423103
40,43,270.2263384708838
41,44,132.46134130073574
42,45,646.7896610754368
43,46,91.43059986478904
44,47,382.761790514133
45,48,102.69792690092463
46,49,252.31202842618
47,5,43.154370187747304
48,50,324.50861452629397
49,52,191.0548366997118
50,6,52.70477852690808
51,60,210.33541538766136
52,61,320.99965310392565
53,62,246.07373111224385
54,63,546.9307938269558
55,66,237.28322135414845
56,67,223.536722497443
57,68,264.5073227630094
58,69,256.0878535323789
59,7,43.80081857784682
60,70,195.95998199265176
61,71,108.10139674511016
62,72,249.4407692762698
63,73,123.47375450141882
64,75,436.5830149517562
65,76,115.01010878491176
66,77,101.70986741348429
67,78,161.35712379143956
68,79,107.25652295306935
69,81,82.24125500313986
70,83,135.08616965295
71,84,84.5981674402631
72,88,101.07995082545918
73,9,51.03477778623333
74,90,157.742871516786
75,94,156.5027959481953
