,precinct,count_10,count_14
0,1.0,2812,5529
1,5.0,1836,3060
2,6.0,3168,4803
3,7.0,1937,3491
4,9.0,4468,7060
5,10.0,1996,3079
6,13.0,2886,5112
7,14.0,2015,2478
8,17.0,2207,3888
9,18.0,2176,4924
10,19.0,4678,7144
11,20.0,2588,3851
12,22.0,212,444
13,23.0,2485,3525
14,24.0,3722,5273
15,25.0,1934,3746
16,26.0,1362,2494
17,28.0,2439,4570
18,30.0,3562,6557
19,32.0,3568,6489
20,33.0,3826,8361
21,34.0,5765,12913
22,40.0,2220,3601
23,41.0,1257,2379
24,42.0,2586,3632
25,43.0,5220,5884
26,44.0,5095,7924
27,45.0,1471,2517
28,46.0,5025,6484
29,47.0,4498,5424
30,48.0,2286,4114
31,49.0,3368,4148
32,50.0,2566,3545
33,52.0,4812,9675
34,60.0,1638,2826
35,61.0,3008,3258
36,62.0,2281,2746
37,63.0,1724,2949
38,66.0,1757,3057
39,67.0,3523,5988
40,68.0,2056,3252
41,69.0,1464,1978
42,70.0,4287,6946
43,71.0,3013,5127
44,72.0,2170,3917
45,73.0,2227,2389
46,75.0,3835,5809
47,76.0,1035,1893
48,77.0,3137,6894
49,78.0,2290,3343
50,79.0,2720,6658
51,81.0,1851,3317
52,83.0,3182,7943
53,84.0,1683,2956
54,88.0,2222,4041
55,90.0,3994,7847
56,94.0,1993,4577
57,100.0,580,1162
58,101.0,995,1459
59,102.0,3490,5720
60,103.0,2050,3569
61,104.0,2603,4137
62,105.0,1927,3343
63,106.0,2255,4282
64,107.0,1991,3915
65,108.0,2580,4474
66,109.0,2894,3862
67,110.0,2389,4082
68,111.0,686,1313
69,112.0,1858,2250
70,113.0,1582,2758
71,114.0,4561,8250
72,115.0,3535,5349
73,120.0,2492,4036
74,121.0,1379,2130
75,122.0,1242,1886
76,123.0,706,1097
