,ARREST_PRECINCT,violent_arrests_09,violent_arrests_14,%change,MODEL_allocation_14
0,1,173,130,-0.24855491329479767,81.0
1,5,523,399,-0.23709369024856597,248.0
2,6,338,274,-0.1893491124260355,170.0
3,7,241,254,0.05394190871369295,158.0
4,9,304,222,-0.26973684210526316,138.0
5,10,250,167,-0.332,104.0
6,13,294,313,0.06462585034013606,194.0
7,14,515,448,-0.13009708737864079,278.0
8,17,120,96,-0.2,60.0
9,18,236,246,0.0423728813559322,153.0
10,19,233,177,-0.24034334763948498,110.0
11,20,169,106,-0.3727810650887574,66.0
12,22,39,23,-0.41025641025641024,14.0
13,23,412,426,0.03398058252427184,264.0
14,24,269,207,-0.23048327137546468,128.0
15,25,566,642,0.13427561837455831,398.0
16,26,224,229,0.022321428571428572,142.0
17,28,354,331,-0.06497175141242938,205.0
18,30,450,292,-0.3511111111111111,181.0
19,32,521,398,-0.236084452975048,247.0
20,33,439,296,-0.32574031890660593,184.0
21,34,395,274,-0.30632911392405066,170.0
22,40,894,908,0.015659955257270694,564.0
23,41,944,1260,0.3347457627118644,782.0
24,42,515,695,0.34951456310679613,431.0
25,43,836,942,0.12679425837320574,585.0
26,44,998,975,-0.023046092184368736,605.0
27,45,373,338,-0.0938337801608579,210.0
28,46,697,845,0.21233859397417504,524.0
29,47,710,727,0.023943661971830985,451.0
30,48,780,814,0.04358974358974359,505.0
31,49,488,333,-0.3176229508196721,207.0
32,50,250,229,-0.084,142.0
33,52,860,800,-0.06976744186046512,497.0
34,60,448,524,0.16964285714285715,325.0
35,61,369,307,-0.16802168021680217,191.0
36,62,326,295,-0.0950920245398773,183.0
37,63,332,278,-0.16265060240963855,173.0
38,66,283,196,-0.30742049469964666,122.0
39,67,677,743,0.09748892171344166,461.0
40,68,187,190,0.016042780748663103,118.0
41,69,258,314,0.21705426356589147,195.0
42,70,579,437,-0.2452504317789292,271.0
43,71,603,554,-0.0812603648424544,344.0
44,72,388,375,-0.03350515463917526,233.0
45,73,732,769,0.050546448087431695,477.0
46,75,1235,1426,0.15465587044534412,885.0
47,76,136,139,0.022058823529411766,86.0
48,77,687,706,0.027656477438136828,438.0
49,78,151,129,-0.1456953642384106,80.0
50,79,559,499,-0.1073345259391771,310.0
51,81,429,487,0.1351981351981352,302.0
52,83,602,460,-0.23588039867109634,286.0
53,84,492,483,-0.018292682926829267,300.0
54,88,243,310,0.2757201646090535,192.0
55,90,457,301,-0.3413566739606127,187.0
56,94,139,131,-0.05755395683453238,81.0
57,100,221,220,-0.004524886877828055,137.0
58,101,235,328,0.39574468085106385,204.0
59,102,569,458,-0.19507908611599298,284.0
60,103,686,623,-0.09183673469387756,387.0
61,104,418,303,-0.2751196172248804,188.0
62,105,490,511,0.04285714285714286,317.0
63,106,282,422,0.49645390070921985,262.0
64,107,311,286,-0.08038585209003216,178.0
65,108,249,251,0.008032128514056224,156.0
66,109,540,496,-0.08148148148148149,308.0
67,110,590,430,-0.2711864406779661,267.0
68,111,188,118,-0.3723404255319149,73.0
69,112,399,370,-0.07268170426065163,230.0
70,113,484,670,0.384297520661157,416.0
71,114,518,484,-0.06563706563706563,300.0
72,115,773,571,-0.2613195342820181,354.0
73,120,772,566,-0.266839378238342,351.0
74,122,228,176,-0.22807017543859648,109.0
75,123,97,71,-0.26804123711340205,44.0
