,precinct,median_fam_income,ppl_color_total_pct
0,1.0,202088.0769230769,0.2177580560556871
1,5.0,83063.45454545454,0.7080004981408671
2,6.0,203360.41666666663,0.12209130591748991
3,7.0,60776.7,0.6251249867035422
4,9.0,102720.78571428572,0.3678255691447941
5,10.0,153792.9090909091,0.27562419974391805
6,13.0,189056.66666666663,0.2160668726522135
7,14.0,184745.1428571429,0.377895718281575
8,17.0,209600.85714285716,0.21633185230192786
9,18.0,158533.7142857143,0.2848777867311308
10,19.0,212348.64516129036,0.13710425351205177
11,20.0,215515.07142857145,0.1678587808233882
12,23.0,63836.75,0.6115328751328931
13,24.0,148018.5,0.30983093056285144
14,25.0,37278.09090909091,0.81550615337764
15,26.0,93240.77777777777,0.5182564940650267
16,28.0,73292.4,0.7150384104894824
17,30.0,49111.555555555555,0.6305066279280915
18,32.0,51148.06666666666,0.844796823561933
19,33.0,47828.0,0.6581659274719541
20,34.0,63948.83333333334,0.5715298167459755
21,40.0,31360.285714285717,0.8759762739055178
22,41.0,28925.307692307684,0.8888033577097194
23,42.0,29504.888888888887,0.9030253090052972
24,43.0,44864.51351351351,0.7438731461788497
25,44.0,33712.6129032258,0.8813539598877405
26,45.0,74060.85185185184,0.5694762136764135
27,46.0,29226.586206896547,0.8941133466120598
28,47.0,62542.77272727273,0.8712008265327474
29,48.0,30771.61904761905,0.8140994401588
30,49.0,63225.589743589735,0.6481444665341286
31,50.0,86487.45833333331,0.5192247922118286
32,52.0,38477.77777777778,0.816816555878988
33,60.0,52180.07407407407,0.34688924631915563
34,61.0,74896.73076923077,0.2760546695878127
35,62.0,62072.67272727272,0.5067209214841659
36,63.0,90008.73913043477,0.5988982356882305
37,66.0,51267.26530612245,0.28495810171741476
38,67.0,60867.836734693876,0.9600492653520988
39,68.0,84453.56521739131,0.35474522864932817
40,69.0,77045.67647058824,0.9346377051898525
41,70.0,68227.54761904763,0.5504179560600418
42,71.0,56051.08333333334,0.7293846390326382
43,72.0,69284.24242424242,0.5696550200655351
44,73.0,38291.79166666666,0.9251476968522109
45,75.0,46579.584905660384,0.7994359755259556
46,76.0,137310.5,0.30374605996928794
47,77.0,61474.43478260869,0.7422702752021533
48,78.0,156685.52631578947,0.19494973111994388
49,79.0,56676.45833333334,0.6698497580850522
50,81.0,55574.8,0.8301111580132264
51,83.0,46783.44827586207,0.5998557224308163
52,84.0,162166.6875,0.35495256233291983
53,88.0,96548.83333333331,0.5851527607252798
54,90.0,45716.38461538462,0.2892080975221853
55,94.0,104656.04545454547,0.19203600579754368
56,100.0,94526.16666666669,0.3408345630431218
57,101.0,52757.66666666666,0.6043861115755448
58,102.0,70808.82692307692,0.5917660821895447
59,103.0,63239.84848484849,0.9068685546494968
60,104.0,79108.26229508196,0.1861348206991746
61,105.0,91424.21538461537,0.8334997300298496
62,106.0,72536.6,0.654771223772467
63,107.0,79392.02631578947,0.5975029841597574
64,108.0,77072.55172413793,0.4313998520516949
65,109.0,65100.75806451612,0.6675972765417126
66,110.0,52440.741935483864,0.6789048972524421
67,111.0,93242.8918918919,0.5180484742570646
68,112.0,99201.96875,0.3827964481606546
69,113.0,79910.27659574468,0.9706080551637675
70,114.0,70446.56896551725,0.3710357330071641
71,115.0,58166.13888888888,0.5612202854428714
72,120.0,82468.5625,0.41107491856677525
73,121.0,85142.16,0.31194655760999535
74,122.0,96812.53125,0.14403372525199937
75,123.0,108167.0588235294,0.06687576681046424
